cycle,avg_score,avg_energy,inactive_student
0,0.0,5.0,0
1,0.6,4.4,0
2,1.15,3.85,0
3,1.6,3.4,0
4,2.2,2.8,0
5,2.8,2.2,2
6,3.2,1.8,4
7,3.45,1.55,6
8,3.95,1.05,7
9,4.25,0.75,12
10,4.45,0.55,13
11,4.6,0.4,14
12,4.85,0.15,17
13,4.9,0.1,18
14,4.95,0.05,19
15,5.0,0.0,20
16,5.0,0.0,20
17,5.0,0.0,20
18,5.0,0.0,20
19,5.0,0.0,20
20,5.0,0.0,20
21,5.0,0.0,20
22,5.0,0.0,20
23,5.0,0.0,20
24,5.0,0.0,20
25,5.0,0.0,20
26,5.0,0.0,20
27,5.0,0.0,20
28,5.0,0.0,20
29,5.0,0.0,20
30,5.0,0.0,20
31,5.0,0.0,20
32,5.0,0.0,20
33,5.0,0.0,20
34,5.0,0.0,20
35,5.0,0.0,20
36,5.0,0.0,20
37,5.0,0.0,20
38,5.0,0.0,20
39,5.0,0.0,20
40,5.0,0.0,20
41,5.0,0.0,20
42,5.0,0.0,20
43,5.0,0.0,20
44,5.0,0.0,20
45,5.0,0.0,20
46,5.0,0.0,20
47,5.0,0.0,20
48,5.0,0.0,20
49,5.0,0.0,20
50,5.0,0.0,20
51,5.0,0.0,20
52,5.0,0.0,20
53,5.0,0.0,20
54,5.0,0.0,20
55,5.0,0.0,20
56,5.0,0.0,20
57,5.0,0.0,20
58,5.0,0.0,20
59,5.0,0.0,20
60,5.0,0.0,20
61,5.0,0.0,20
62,5.0,0.0,20
63,5.0,0.0,20
64,5.0,0.0,20
65,5.0,0.0,20
66,5.0,0.0,20
67,5.0,0.0,20
68,5.0,0.0,20
69,5.0,0.0,20
70,5.0,0.0,20
71,5.0,0.0,20
72,5.0,0.0,20
73,5.0,0.0,20
74,5.0,0.0,20
75,5.0,0.0,20
76,5.0,0.0,20
77,5.0,0.0,20
78,5.0,0.0,20
79,5.0,0.0,20
80,5.0,0.0,20
81,5.0,0.0,20
82,5.0,0.0,20
83,5.0,0.0,20
84,5.0,0.0,20
85,5.0,0.0,20
86,5.0,0.0,20
87,5.0,0.0,20
88,5.0,0.0,20
89,5.0,0.0,20
90,5.0,0.0,20
91,5.0,0.0,20
92,5.0,0.0,20
93,5.0,0.0,20
94,5.0,0.0,20
95,5.0,0.0,20
96,5.0,0.0,20
97,5.0,0.0,20
98,5.0,0.0,20
99,5.0,0.0,20
100,5.0,0.0,20
101,5.0,0.0,20
102,5.0,0.0,20
103,5.0,0.0,20
104,5.0,0.0,20
105,5.0,0.0,20
106,5.0,0.0,20
107,5.0,0.0,20
108,5.0,0.0,20
109,5.0,0.0,20
110,5.0,0.0,20
111,5.0,0.0,20
112,5.0,0.0,20
113,5.0,0.0,20
114,5.0,0.0,20
115,5.0,0.0,20
116,5.0,0.0,20
117,5.0,0.0,20
118,5.0,0.0,20
119,5.0,0.0,20
120,5.0,0.0,20
121,5.0,0.0,20
122,5.0,0.0,20
123,5.0,0.0,20
124,5.0,0.0,20
125,5.0,0.0,20
126,5.0,0.0,20
127,5.0,0.0,20
128,5.0,0.0,20
129,5.0,0.0,20
130,5.0,0.0,20
131,5.0,0.0,20
